Label,Category,Meaning Sound,From,To
Historic - Futuristic,SPATIAL & TEMPORAL,"A normalized, continuous parameter from 0.0 (historic) to 1.0 (futuristic), describing the temporal-aesthetic orientation of a sound. This reflects whether a sound feels archaic, modern, or forward-looking, based on its materials, context, or symbolic associations.

0 = Historic / Archaic:
Sound suggests antiquity, tradition, or old-world materials — such as horses, old tools, or classical instruments.
Spectrum Characteristics: Natural acoustic decay, low-tech fidelity, warm tonal qualities, tactile realism.
Example Labels: ""Horse hooves"", ""Church bell"", ""Folk music"", ""Wood knock"", ""Rustling parchment""

0.5 = Mixed / Contemporary:
Temporal ambiguity or layering — modern sounds with nostalgic textures or retro-futuristic atmospheres.
Spectrum Characteristics: Mixed timbres; vintage filters; analog and digital blend; rhythmically modern, tonally classic.
Example Labels: ""Vinyl scratch"", ""Synth and acoustic guitar"", ""Retro music"", ""Typewriter""

1 = Futuristic / Speculative:
Sound is tech-forward, abstract, or speculative — evoking high technology, AI, or otherworldly scenarios.
Spectrum Characteristics: Synthetic textures; modulated tones; non-natural waveforms; sound design emphasis.
Example Labels: ""Laser"", ""Synthesizer"", ""Computer beeps"", ""Electronic ambient"", ""Sci-fi whoosh""",Historic,Futuristic
Arts,CULTURAL DOMAINS,"A normalized, continuous parameter from 0 to 1 reflecting the presence of artistic, creative, or culturally expressive audio — whether through fine arts, design, ornamentation, or symbolic abstraction. It captures aesthetic intentionality in sound.

0 = No Artistic Presence:
Purely functional, natural, or incidental sounds with no creative expression or stylistic design.
Spectrum Characteristics: Raw or utilitarian; unmodulated dynamics; no structure beyond utility.
Example Labels: ""Typing"", ""Drill"", ""Footsteps"", ""Alarm"", ""Birdsong""

0.5 = Partial Artistic Presence:
Sounds with some creative or aesthetic design, such as musical motifs, rhythmic structure, or symbolic beauty.
Spectrum Characteristics: Repetition, rhythm, ambient harmonics, or spatial shaping suggest intentional form.
Example Labels: ""Ambient music"", ""Street performance"", ""Drum loop"", ""Electronic tones"", ""Instrument tuning""

1 = Fully Artistic Presence:
Audio is dominated by artistic intent — performances, installations, stylized expressions, or crafted sound design.
Spectrum Characteristics: Rich dynamics; harmonic layering; clear structural composition.
Example Labels: ""Classical music"", ""Opera"", ""Sound art"", ""Theater performance"", ""Sculptural sound""",,
Music,CULTURAL DOMAINS,"A normalized, continuous parameter from 0 to 1 reflecting the presence of music or musical structures — including literal performances, instrumental cues, or symbolic references to rhythm and tone.

0 = No Music:
Sounds with no musical reference — non-tonal, non-rhythmic, and not tied to musical instruments or forms.
Spectrum Characteristics: Unstructured noise or environmental tone; lacks meter or melody.
Example Labels: ""Traffic"", ""Speech"", ""Hammer"", ""Wind""

0.5 = Partial Musical Reference:
Music is present but not central — background tracks, melodic fragments, or rhythmic patterns with no full composition.
Spectrum Characteristics: Partial melody, looping rhythm, low-intensity accompaniment.
Example Labels: ""Radio playing"", ""Person humming"", ""Street band in background"", ""Dance rhythm""

1 = Fully Music-Based:
Music dominates the sound — through instruments, singing, or full musical environments.
Spectrum Characteristics: Tonal structure, harmony, rhythm, emotional progression.
Example Labels: ""Jazz band"", ""Choir"", ""A cappella"", ""Orchestra"", ""Pop song""",,
Sports,CULTURAL DOMAINS,"A normalized, continuous parameter from 0 to 1 that reflects the presence of athletic, physical, or sports-related activity in a sound. This includes motion, exertion, and the culture of physical performance.

0 = No Sport/Activity:
No audible motion, exertion, or sport context — static or passive environments.
Spectrum Characteristics: Low energy fluctuation; no panting, impact, or competitive cues.
Example Labels: ""Typing"", ""Speech"", ""Rain"", ""Fire crackling""

0.5 = Physical Motion Present:
Movement, breathing, or gestures are audible, but not directly tied to sport.
Spectrum Characteristics: Rhythmic impacts; short bursts; mild exertion sounds.
Example Labels: ""Jumping"", ""Stretching"", ""Body impact"", ""Steps in gym""

1 = Fully Sport-Based:
Sound is dominated by athletic activity, such as matches, training, or competition.
Spectrum Characteristics: Intense percussive energy; crowd noise; movement + voice cues; quick transients.
Example Labels: ""Basketball bounce"", ""Tennis match"", ""Gym crowd"", ""Running"", ""Whistle""",,
Science,CULTURAL DOMAINS,"A normalized, continuous parameter from 0 to 1 reflecting the presence of science, experimentation, or analytical environments — including technical tools, labs, or symbolic structures of knowledge.

0 = No Science Present:
Sounds have no technical, research, or investigative context — ordinary environments or natural settings.
Spectrum Characteristics: Organic or ambient; no structured signals, beeps, or lab ambiance.
Example Labels: ""Rain"", ""Speech"", ""Forest"", ""Typing""

0.5 = Partial Scientific Cues:
Scientific instruments or language appear, but not as the central focus.
Spectrum Characteristics: Isolated beeps, diagnostic tones, controlled ambient noise.
Example Labels: ""Clipboard sounds"", ""Lab background"", ""Electronic beeps""

1 = Fully Science-Based:
Sounds directly involve scientific tools, processes, or environments — such as labs, tech interfaces, or research audio.
Spectrum Characteristics: Clean, controlled frequencies; measurement signals; machine operation.
Example Labels: ""Microscope scanning"", ""Lab machinery"", ""Medical monitor"", ""Science lab ambience""",,
Spirituality,CULTURAL DOMAINS,"A normalized, continuous parameter from 0 to 1 describing the presence or evocation of spiritual, religious, or metaphysical experience in sound. It includes both explicit ritual and symbolic atmospheres of transcendence.

0 = No Spirituality Present:
Sounds are entirely secular, pragmatic, or physical, with no sacred or symbolic undertones.
Spectrum Characteristics: Functional or environmental; no spaciousness, resonance, or ritual rhythm.
Example Labels: ""Alarm"", ""Typing"", ""Airplane"", ""Hammer""

0.5 = Subtle Spiritual Tone:
Atmosphere suggests sacredness or reflection — through calm, silence, or ambient reverberation.
Spectrum Characteristics: Soft drones, slow pacing, reverberant space, breathy textures.
Example Labels: ""Chanting"", ""Wind in temple"", ""Meditative ambient"", ""Low hum""

1 = Fully Spiritually Charged:
Sound is dominated by spiritual ritual or transcendental presence — chanting, bells, sacred voice, or divine symbolism.
Spectrum Characteristics: Echoing textures, harmonic stillness, reverent pacing, emotional resonance.
Example Labels: ""Gregorian chant"", ""Prayer"", ""Tibetan bowl"", ""Church bell"", ""Temple ambience""",,
Fear - Trust,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (complete fear) to 1.0 (complete trust), capturing the emotional tone of safety vs. threat as perceived in a sound — from calm reassurance to acute anxiety or danger.

0 = Full Fear Response:
Sound expresses danger, unpredictability, or threat — triggering withdrawal, tension, or fear.
Spectrum Characteristics: Sudden or high-amplitude transients, harsh timbres, dissonance, irregular rhythm.
Example Labels: ""Scream"", ""Explosion"", ""Gunshot"", ""Dog growl"", ""Alarm"", ""Sirens""

0.5 = Conditional Trust / Ambivalence:
Mixed signals — possibly uncertain, cautious, or ambiguous emotional framing.
Spectrum Characteristics: Moderate dynamics; suspenseful tone; unresolved harmonics or pacing.
Example Labels: ""Murmuring crowd"", ""Whispering"", ""Distant thunder"", ""Creaking door""

1 = Full Trust Response:
Sound communicates security, calm, or openness — conveying emotional safety or connection.
Spectrum Characteristics: Smooth textures, soft amplitude curves, tonal warmth, consistent rhythm.
Example Labels: ""Lullaby"", ""Gentle speech"", ""Fireplace"", ""Water stream"", ""Breathing""",Fear,Trust
Sadness - Joy,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (deep sadness) to 1.0 (full joy), capturing the emotional valence of a sound — its tone, tempo, and expressive quality.

0 = Deep Sadness:
The sound evokes grief, melancholy, or emotional heaviness — stillness or quiet pain.
Spectrum Characteristics: Slow pacing, soft amplitude, minor tonality, or sparse textures.
Example Labels: ""Sobbing"", ""Crying"", ""Sad music"", ""Slow violin"", ""Rain""

0.5 = Emotional Ambiguity:
Sounds reflect nostalgia, longing, or peaceful neutrality — neither sad nor joyful.
Spectrum Characteristics: Balanced tonality, medium tempo, subtle dynamic shifts.
Example Labels: ""Soft humming"", ""Muted piano"", ""Wind chimes"", ""Light ambient""

1 = Full Joy:
The sound expresses happiness, excitement, or warmth — high energy or emotional lightness.
Spectrum Characteristics: Bright tonality, fast rhythms, harmonic clarity, expressive vocalizations.
Example Labels: ""Laughter"", ""Clapping"", ""Happy singing"", ""Uplifting music"", ""Cheering""",Sadness,Joy
Contentment - Anger,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (contentment) to 1.0 (anger), describing the emotional tension or agitation level in a sound.

0 = Full Contentment:
The sound is relaxed, stable, and emotionally balanced — no conflict or restlessness.
Spectrum Characteristics: Soft harmonics, slow rhythm, low dynamics.
Example Labels: ""Meditation music"", ""Ambient drone"", ""Fire crackle"", ""Nature sounds""

0.5 = Tension Without Outburst:
A controlled underlying frustration or agitation — signals are present but subdued.
Spectrum Characteristics: Mild dissonance, rhythmic pulses, medium tension in tone.
Example Labels: ""Grinding"", ""Muttered complaints"", ""Sighing"", ""Restless footsteps""

1 = Full Anger:
Sound is marked by emotional volatility or confrontation — loud, aggressive, or explosive.
Spectrum Characteristics: Sharp transients, loud volume, irregular rhythms, harsh timbres.
Example Labels: ""Yelling"", ""Growling"", ""Argument"", ""Object smashing""",Anger,Contentment
Aversion - Affection,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (full aversion) to 1.0 (full affection), describing the emotional pull toward or away from the subject of a sound — intimacy vs. rejection.

0 = Complete Aversion:
Sound communicates disgust, rejection, or emotional discomfort.
Spectrum Characteristics: Harsh tones, unpleasant textures, negative vocalizations.
Example Labels: ""Spitting"", ""Dry retching"", ""Screech"", ""Repelled shouting""

0.5 = Emotional Neutrality:
Emotionally mixed or ambiguous, neither drawn in nor pushed away.
Spectrum Characteristics: Mid-frequency range; steady pacing; unexpressive vocal delivery.
Example Labels: ""Neutral speech"", ""Murmuring"", ""Mechanical movement""

1 = Complete Affection:
Sound expresses care, warmth, closeness, or emotional openness.
Spectrum Characteristics: Soft timbres, warmth in midrange, harmonic intervals.
Example Labels: ""Cooing"", ""Purring"", ""Baby laughter"", ""Gentle greeting"", ""Hugging sounds""",Aversion,Affection
Predictability - Surprise,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (fully predictable) to 1.0 (fully surprising), describing how expected vs. disruptive a sound feels — cognitively or affectively.

0 = Fully Predictable:
Sound follows familiar structures, routines, or expectations.
Spectrum Characteristics: Repetition, regular rhythm, tonal stability.
Example Labels: ""Clock ticking"", ""Footsteps"", ""Metronome"", ""White noise""

0.5 = Slightly Unexpected:
Some novelty or variation within familiar structure — slight tension or ambiguity.
Spectrum Characteristics: Subtle tempo shift, tonal changes, or irregular textures.
Example Labels: ""Broken rhythm"", ""Ambient glitch"", ""Unusual bird call""

1 = Fully Surprising:
Sound is unexpected, novel, or disorienting — disrupts pattern or context.
Spectrum Characteristics: Sudden transients, abrupt frequency shifts, odd timing.
Example Labels: ""Sudden scream"", ""Glass shatter"", ""Distorted synth blast"", ""Unexpected animal sound""",Predictability,Surprise
Skepticism - Awe,EMOTIONS & MOODS,"A normalized, continuous parameter from 0.0 (skepticism) to 1.0 (awe), capturing the emotional openness to wonder, scale, or transcendence in a sound.

0 = Full Skepticism:
The sound evokes distance, disbelief, or intellectual detachment — grounded and unemotional.
Spectrum Characteristics: Dry, flat timbre; informational or mechanical tone.
Example Labels: ""Scientific narration"", ""Monotone voice"", ""Test tone""

0.5 = Cautious Openness:
A tentative shift toward curiosity or reverence — mild emotional lift or spatial expansion.
Spectrum Characteristics: Soft ambient space; subtle harmonics; slow transitions.
Example Labels: ""Low chant"", ""Wind through cave"", ""Ethereal hum""

1 = Complete Awe:
Sound evokes magnitude, beauty, or spiritual expansion — elevates perception or emotion.
Spectrum Characteristics: Reverb-rich, harmonic, slow-moving or majestic textures.
Example Labels: ""Cathedral organ"", ""Choral harmony"", ""Celestial ambient"", ""Deep gong""",Skepticism,Awe
Geometric/Mathematical,FORMAL STRUCTURES,"A normalized, continuous parameter from 0.0 (no mathematical/geometric character) to 1.0 (fully geometric or mathematically structured), describing the auditory presence of formal order, regularity, rhythm, proportion, or abstract logical construction in sound.

0 = No Geometric Presence:
Sounds are chaotic, organic, or irregular — no clear repetition, symmetry, or formal structure.
Spectrum Characteristics: Irregular timing, unpredictable dynamics, non-repeating patterns.
Example Labels: ""Crowd noise"", ""Rain"", ""Dog barking"", ""Forest ambience""

0.5 = Partial Mathematical Structure:
Sound shows some structural regularity — rhythm, pulse, or partial symmetry — but is not overtly geometric.
Spectrum Characteristics: Loops, measured tempo, structured phrasing, repeated envelopes.
Example Labels: ""Footsteps"", ""Clock ticking"", ""Percussion"", ""Hand claps""

1 = Fully Geometric/Mathematical:
Sound is highly ordered or algorithmically constructed, with precise repetition, symmetry, or calculated design.
Spectrum Characteristics: Grid-like timing, synthetic tones, fractal harmonics, phase alignment.
Example Labels: ""Metronome"", ""Synth pattern"", ""Electronic music (looped)"", ""MIDI sequence""",,
Organic/Liquid,FORMAL STRUCTURES,"A normalized, continuous parameter from 0.0 (rigid, non-organic) to 1.0 (fluid or biologically natural), describing how much a sound evokes fluidity, softness, or natural biological texture, as opposed to mechanical or geometric qualities.

0 = No Organic Quality:
Sound is dry, mechanical, or angular — lacks smoothness or biological feel.
Spectrum Characteristics: Sharp transients, static textures, clean decay.
Example Labels: ""Typing"", ""Digital click"", ""Alarm"", ""Electric motor""

0.5 = Partially Organic/Liquid:
Mixed textures — e.g., fluid over mechanical, or soft sound within rigid structure.
Spectrum Characteristics: Layered sounds with both harsh and smooth elements; variable envelope.
Example Labels: ""Water drops"", ""Voiced consonants"", ""Soft machine sounds"", ""Flowing stream""

1 = Fully Organic/Liquid:
Sound is biological, flowing, or soft-bodied — mimics life or liquid processes.
Spectrum Characteristics: Smooth curves, non-linear decay, wet textures, viscous reverberation.
Example Labels: ""Breathing"", ""Gurgling"", ""Ocean waves"", ""Boiling"", ""Insect buzzing""",,
Fractal/Recursive,FORMAL STRUCTURES,"A normalized, continuous parameter from 0.0 (no recursion) to 1.0 (fully fractal or self-similar), indicating the presence of scale repetition, pattern nesting, or recursive layering within sound structures — either natural or algorithmic.

0 = No Recursive Structure:
Sound lacks repetition or nesting — linear, single-layered, or singular events.
Spectrum Characteristics: One-off bursts, non-layered textures, short or isolated forms.
Example Labels: ""Gunshot"", ""Door slam"", ""Speech""

0.5 = Partial Recursion:
Sound includes some nested or repeated structures, like echoing gestures or looped layers.
Spectrum Characteristics: Short loops, harmonic buildup, delayed copies, iterative motifs.
Example Labels: ""Echo"", ""Reverberated percussion"", ""Drum fill"", ""Bird call repeating""

1 = Fully Fractal/Recursive:
Sound features deep self-similarity across scales — recursive echoes, feedback loops, algorithmic repetition.
Spectrum Characteristics: Layered repetitions across time and frequency; harmonically scale-invariant.
Example Labels: ""Rainforest ambience"", ""Modular synth with feedback"", ""Fractal noise"", ""Waves crashing""",,
Field of View,FORMAL STRUCTURES,"A normalized parameter from 0.0 (extreme close-up) to 1.0 (broad ambient scope), representing the perceived spatial extent or scale of a soundscape — from intimate micro-details to vast environmental surround.

0 = Close-Up (Intimate FOV):
Small-scale, near-field sounds — tightly mic’d or physically close.
Spectrum Characteristics: High detail, low reverb, minimal spatial cues.
Example Labels: ""Whispering"", ""Pen writing"", ""Breathing"", ""Object manipulation""

0.5 = Medium View:
Balanced spatial foreground and background — object in environment.
Spectrum Characteristics: Some reverberation, layered depth, moderate spatial scale.
Example Labels: ""Conversation in room"", ""Street ambience"", ""Cafe sounds""

1 = Wide View (Macro FOV):
Large-scale, environmental or ambient soundscapes — immersive or distant.
Spectrum Characteristics: Rich spatial diffusion, low-end ambience, long reflections.
Example Labels: ""Ocean"", ""Forest ambience"", ""Stadium crowd"", ""Thunderstorm""",Close-up,Wide
Noise - Music,FORMAL STRUCTURES,"A normalized, continuous parameter ranging from 0 to 1 that reflects the degree of musical structure, intentionality, and aesthetic coherence in a sound. This allows models to distinguish between chaotic, ambient, or utilitarian audio and organized, expressive musical content.

0 = Noise (Unstructured / Non-musical):
Sounds that are perceived as random, functional, or environmental, lacking deliberate rhythm, melody, harmony, or musical phrasing. These are often mechanical, synthetic, or chaotic in nature.
Spectrum Characteristics: Irregular or broadband waveforms with high entropy, absence of tonal center, non-repeating patterns, and variable or sharp dynamics. Tonal predictability is low or absent, and the signal may contain wideband noise or impulsive bursts.
Example Labels: ""White noise"", ""Static"", ""Drill"", ""Car engine"", ""Fireworks"", ""Siren"", ""Construction""

1 = Music (Structured / Intentional):
Sounds that are highly organized with musical intent, characterized by harmony, melody, rhythm, and aesthetic expression. These evoke emotional, cultural, or performative meaning, and are typically produced by voices or instruments.
Spectrum Characteristics: Tonal clarity, harmonic layering, structured repetition, rhythmic coherence, and balanced energy distribution across frequencies. Musical contours are often smooth and structured, with melodic phrasing and resonance.
Example Labels: ""Singing"", ""Piano"", ""Guitar"", ""Jazz"", ""Classical music"", ""A capella"", ""Orchestra""

0.5 = Ambiguous / Hybrid:
Sounds that contain partial musical elements — such as rhythm, pitch fragments, or timbral consistency — but do not fully constitute music. These may be ambient, percussive, or experimental in nature, occupying the perceptual space between structured music and noise.
Spectrum Characteristics: Mixed tonal and atonal components, rhythmic hints without full regularity, partial harmonic content, or looping textures. These sounds may be musical in texture but lack melodic development or formal musical structure.
Example Labels: ""Beatboxing"", ""Percussion"", ""Ambient music"", ""Looping synth"", ""Wind chime"", ""Tap""",Noise-like,Musical
